Date-Time,Date ∇,UTC time,Temp. (ºC),Rel. Hum. (%),Pressure/ Geopot.,Wind dir,Wins speed (Km/h),Clouds,Low clouds,Medium clouds,High clouds,Prec. (mm),Max temp. (ºC),Min temp. (ºC),Conditions
2011-05-17 18:00:00,17/05/2011,18Z,26.9,84%,1008.7 Hpa,180º (S ),3.7,4/8,2/8 SC,AC,-,-,-,-,Scattered clouds
2011-05-25 12:00:00,25/05/2011,12Z,25.1,93%,1002.4 Hpa,180º (S ),3.7,8/8,4/8 SC,AC,,10.0(18h),34.2,-,"Overcast, rain"
2011-05-26 18:00:00,26/05/2011,18Z,28.4,86%,1004.6 Hpa,180º (S ),1.9,0/8,-,-,-,-,-,-,Clear
2011-05-27 18:00:00,27/05/2011,18Z,27.8,89%,1004.2 Hpa,180º (S ),3.7,2/8,2/8 SC,-,-,-,-,-,Few clouds
2011-05-28 00:00:00,28/05/2011,00Z,24.5,97%,1004.0 Hpa,calm.,,3/8,1/8 SC,AC,-,10.0(24h),-,-,Scattered clouds
2011-05-28 18:00:00,28/05/2011,18Z,26.0,94%,1004.0 Hpa,calm.,,2/8,2/8 SC,-,-,1.0(9h),-,-,Few clouds
2011-05-29 00:00:00,29/05/2011,00Z,26.0,94%,1003.4 Hpa,calm.,,7/8,3/8 SC,AC,-,10.4(24h),-,-,Cloudy
2011-05-29 18:00:00,29/05/2011,18Z,25.6,96%,1004.4 Hpa,calm.,,8/8,4/8 SC,AC,,14.0(15h),-,-,Overcast
2011-05-30 00:00:00,30/05/2011,00Z,25.2,93%,1003.3 Hpa,calm.,,8/8,4/8 SC,AC,,48.0(15h),-,-,"Overcast, rain"
2011-06-02 00:00:00,02/06/2011,00Z,27.5,91%,1004.2 Hpa,180º (S ),3.7,5/8,3/8 SC,AC,-,-,-,-,Cloudy
2011-06-03 18:00:00,03/06/2011,18Z,28.0,94%,1004.8 Hpa,calm.,,7/8,4/8 SC,AC,-,3.4(24h),-,-,Cloudy
2011-06-05 00:00:00,05/06/2011,00Z,28.2,93%,1003.8 Hpa,calm.,,5/8,3/8 SC,AC,-,1.2(24h),-,-,"Cloudy, haze"
2011-06-17 18:00:00,17/06/2011,18Z,25.7,90%,997.5 Hpa,calm.,,8/8,6/8 ST,AC,,2.0(18h),-,-,"Overcast, rain"
2011-06-18 18:00:00,18/06/2011,18Z,26.6,90%,999.3 Hpa,calm.,,6/8,3/8 SC,AC,-,13.0(24h),-,-,Cloudy
2011-06-19 00:00:00,19/06/2011,00Z,26.6,90%,997.6 Hpa,180º (S ),3.7,5/8,3/8 SC,AC,-,7.4(24h),-,-,Cloudy
2011-06-19 18:00:00,19/06/2011,18Z,28.0,88%,999.9 Hpa,180º (S ),5.6,4/8,3/8 SC,AC,-,-,-,-,Scattered clouds
2011-06-23 18:00:00,23/06/2011,18Z,28.2,87%,999.4 Hpa,calm.,,4/8,2/8 SC,AC,-,-,-,-,Scattered clouds
2011-06-25 00:00:00,25/06/2011,00Z,26.5,97%,997.2 Hpa,calm.,,5/8,2/8 SC,AC,-,2.4(24h),-,-,Cloudy
2011-06-25 18:00:00,25/06/2011,18Z,26.8,95%,998.2 Hpa,180º (S ),1.9,8/8,4/8 SC,AC,,0.6(24h),-,-,"Overcast, rain"
2011-06-26 00:00:00,26/06/2011,00Z,25.7,95%,997.6 Hpa,180º (S ),1.9,8/8,-,-,-,3.0(18h),-,-,"Overcast, rain"
2011-06-26 18:00:00,26/06/2011,18Z,26.0,94%,999.9 Hpa,180º (S ),1.9,7/8,5/8 SC,AC,-,2.6(24h),-,-,Cloudy
2011-06-28 18:00:00,28/06/2011,18Z,26.8,95%,1002.0 Hpa,calm.,,7/8,3/8 SC,AC,-,4.0(2h),-,-,Cloudy
2011-06-29 00:00:00,29/06/2011,00Z,25.8,95%,1001.5 Hpa,180º (S ),3.7,8/8,4/8 SC,AC,,7.0(3h),-,-,"Overcast, rain"
2011-06-29 06:00:00,29/06/2011,06Z,27.3,87%,1003.0 Hpa,130º (SE),3.7,8/8,4/8 SC,AC,,10.0(9h),-,-,Overcast
2011-06-29 12:00:00,29/06/2011,12Z,28.2,87%,1001.1 Hpa,180º (S ),3.7,8/8,5/8 ST,AC,,20.8(24h),28.3,-,Overcast
2011-06-29 18:00:00,29/06/2011,18Z,27.0,94%,1003.4 Hpa,130º (SE),5.6,8/8,5/8 SC,AC,,1.0(2h),-,-,Overcast
2011-06-30 00:00:00,30/06/2011,00Z,26.6,96%,1001.9 Hpa,130º (SE),3.7,8/8,5/8 SC,AC,,10.6(24h),-,-,Overcast
2011-06-30 06:00:00,30/06/2011,06Z,30.0,84%,1003.1 Hpa,180º (S ),5.6,8/8,3/8 SC,AC,,0.4(1h),-,-,Overcast
2011-06-30 12:00:00,30/06/2011,12Z,26.7,80%,1001.5 Hpa,180º (S ),3.7,8/8,5/8 SC,AC,,2.0(9h),31.0,-,Overcast
2011-06-30 18:00:00,30/06/2011,18Z,27.1,93%,1002.1 Hpa,180º (S ),1.9,8/8,4/8 SC,AC,,35.0(2h),-,-,Overcast
2011-07-01 00:00:00,01/07/2011,00Z,26.2,93%,1000.2 Hpa,calm.,,8/8,4/8 SC,AC,,4.0(1h),-,-,Overcast
2011-07-01 06:00:00,01/07/2011,06Z,26.4,97%,1002.5 Hpa,180º (S ),3.7,8/8,5/8 SC,AC,,44.0(15h),-,-,"Overcast, rain"
2011-07-01 12:00:00,01/07/2011,12Z,27.4,92%,999.5 Hpa,180º (S ),3.7,8/8,6/8 ST,AC,,2.0(15h),28.3,-,Overcast
